2026-03-23 00:00:00 INFO  [Task] 定时检查: 周1 0:00
2026-03-23 01:00:00 INFO  [Task] 定时检查: 周1 1:00
2026-03-23 01:12:01 WARN  [UI] 截图失败: {}
2026-03-23 01:12:01 WARN  [UI] 截图失败 (1/20): {}
2026-03-23 01:12:03 WARN  [UI] 截图失败: {}
2026-03-23 01:12:03 WARN  [UI] 截图失败 (1/20): {}
2026-03-23 01:12:05 WARN  [UI] 截图失败: {}
2026-03-23 01:12:05 WARN  [UI] 截图失败 (2/20): {}
2026-03-23 01:12:07 WARN  [UI] 截图失败 (2/20): {}
2026-03-23 01:12:07 WARN  [UI] 截图失败: {}
2026-03-23 01:12:09 WARN  [UI] 截图失败: {}
2026-03-23 01:12:09 WARN  [UI] 截图失败 (3/20): {}
2026-03-23 01:12:11 WARN  [UI] 截图失败: {}
2026-03-23 01:12:11 WARN  [UI] 截图失败 (3/20): {}
2026-03-23 01:12:13 WARN  [UI] 截图失败: {}
2026-03-23 01:12:13 WARN  [UI] 截图失败 (4/20): {}
2026-03-23 01:12:15 WARN  [UI] 截图失败: {}
2026-03-23 01:12:15 WARN  [UI] 截图失败 (4/20): {}
2026-03-23 01:12:17 WARN  [UI] 截图失败: {}
2026-03-23 01:12:17 WARN  [UI] 截图失败 (5/20): {}
2026-03-23 01:12:19 WARN  [UI] 截图失败: {}
2026-03-23 01:12:19 WARN  [UI] 截图失败 (5/20): {}
2026-03-23 01:12:21 WARN  [UI] 截图失败: {}
2026-03-23 01:12:21 WARN  [UI] 截图失败 (6/20): {}
2026-03-23 01:12:23 WARN  [UI] 截图失败: {}
2026-03-23 01:12:23 WARN  [UI] 截图失败 (6/20): {}
2026-03-23 01:12:25 WARN  [UI] 截图失败 (7/20): {}
2026-03-23 01:12:25 WARN  [UI] 截图失败: {}
2026-03-23 01:12:27 WARN  [UI] 截图失败: {}
2026-03-23 01:12:27 WARN  [UI] 截图失败 (7/20): {}
2026-03-23 01:12:29 WARN  [UI] 截图失败: {}
2026-03-23 01:12:29 WARN  [UI] 截图失败 (8/20): {}
2026-03-23 01:12:31 WARN  [UI] 截图失败 (8/20): {}
2026-03-23 01:12:31 WARN  [UI] 截图失败: {}
2026-03-23 01:12:33 WARN  [UI] 截图失败: {}
2026-03-23 01:12:33 WARN  [UI] 截图失败 (9/20): {}
2026-03-23 01:12:35 WARN  [UI] 截图失败: {}
2026-03-23 01:12:35 WARN  [UI] 截图失败 (9/20): {}
2026-03-23 01:12:37 WARN  [UI] 截图失败: {}
